id;relationship_type;source_type;name;other_entity_field;relationship_name;other_entity_relationship_name;column_width;order;hide_in_list;font_color;background_color;help;owner_side;common_table_id;data_name;web_component_type;other_entity_is_tree;other_entity_name;end_used;edit_in_list;hide_in_form;system
20;MANY_TO_ONE;ENTITY;字典表节点;name;dataDictionaryNode;commonTableRelationship;100;2;false;;;;true;13;dataDictionaries;treeSelect;true;DataDictionary;NULL;false;false;true
21;MANY_TO_ONE;ENTITY;元模型;name;metaModel;commonTableRelationship;100;3;false;;;;true;13;commonTables;select;false;CommonTable;NULL;false;false;true
22;MANY_TO_ONE;ENTITY;所属表;name;commonTable;relationships;100;4;false;;;;true;13;commonTables;select;false;CommonTable;NULL;false;false;true
23;ONE_TO_MANY;ENTITY;子节点;text;children;parent;100;1;false;;;;NULL;14;viewPermissions;;true;ViewPermission;NULL;false;false;true
24;MANY_TO_ONE;ENTITY;上级;text;parent;children;100;2;false;;;;true;14;viewPermissions;treeSelect;true;ViewPermission;NULL;false;false;true
25;MANY_TO_MANY;ENTITY;角色列表;name;authorities;viewPermissions;100;3;false;;;;NULL;14;authorities;select;false;Authority;NULL;false;false;true
26;MANY_TO_ONE;ENTITY;查询;name;commonCondition;items;100;1;false;;;;true;15;commonConditions;select;false;CommonCondition;NULL;false;false;true
27;ONE_TO_MANY;ENTITY;子节点;name;children;parent;100;1;false;;;;NULL;16;administrativeDivisions;;true;AdministrativeDivision;NULL;false;false;true
28;MANY_TO_ONE;ENTITY;上级节点;name;parent;children;100;2;false;;;;true;16;administrativeDivisions;treeSelect;true;AdministrativeDivision;NULL;false;false;true
29;ONE_TO_MANY;ENTITY;字段;title;commonTableFields;commonTable;100;1;false;;;;NULL;17;commonTableFields;;false;CommonTableField;NULL;false;false;true
30;ONE_TO_MANY;ENTITY;关系;name;relationships;commonTable;100;2;false;;;;NULL;17;commonTableRelationships;;false;CommonTableRelationship;NULL;false;false;true
31;MANY_TO_ONE;ENTITY;元模型;name;metaModel;commonTable;100;3;false;;;;true;17;commonTables;select;false;CommonTable;NULL;false;false;true
32;MANY_TO_ONE;ENTITY;创建人;login;creator;commonTable;100;4;false;;;;true;17;users;select;false;User;NULL;false;false;true
33;MANY_TO_ONE;ENTITY;业务类型;name;businessType;commonTable;100;5;false;;;;true;17;businessTypes;select;false;BusinessType;NULL;false;false;true
34;ONE_TO_MANY;ENTITY;文件列表;url;files;category;100;1;false;;;;NULL;18;uploadFiles;;false;UploadFile;NULL;false;false;true
35;ONE_TO_MANY;ENTITY;下级列表;title;children;parent;100;2;false;;;;NULL;18;resourceCategories;;true;ResourceCategory;NULL;false;false;true
36;ONE_TO_MANY;ENTITY;图片列表;url;images;category;100;3;false;;;;NULL;18;uploadImages;;false;UploadImage;NULL;false;false;true
37;MANY_TO_ONE;ENTITY;上级;title;parent;children;100;4;false;;;;true;18;resourceCategories;treeSelect;true;ResourceCategory;NULL;false;false;true
38;MANY_TO_ONE;ENTITY;上传者;login;user;uploadFile;100;1;false;;;;true;19;users;select;false;User;NULL;false;false;true
39;MANY_TO_ONE;ENTITY;所属分类;title;category;files;100;2;false;;;;true;19;resourceCategories;treeSelect;true;ResourceCategory;NULL;false;false;true
40;ONE_TO_MANY;ENTITY;员工列表;firstName;users;position;100;1;false;;;;NULL;20;users;;false;User;NULL;false;false;true
41;ONE_TO_MANY;ENTITY;子节点;name;children;parent;100;1;false;;;;NULL;21;dataDictionaries;;true;DataDictionary;NULL;false;false;true
42;MANY_TO_ONE;ENTITY;上级节点;name;parent;children;100;2;false;;;;true;21;dataDictionaries;treeSelect;true;DataDictionary;NULL;false;false;true
43;ONE_TO_MANY;ENTITY;条件项目;fieldName;items;commonCondition;100;1;false;;;;NULL;22;commonConditionItems;;false;CommonConditionItem;NULL;false;false;true
44;MANY_TO_ONE;ENTITY;所属模型;name;commonTable;commonCondition;100;2;false;;;;true;22;commonTables;select;false;CommonTable;NULL;false;false;true
